1, 1, Netflix, 0
1, 2, Netflix, 0
1, 3, Netflix, 0
1, 4, Netflix, 0
1, 5, Netflix, 1359
2, 1, Netflix, 0
2, 2, Netflix, 0
2, 3, Netflix, 0
2, 4, Netflix, 0
2, 5, Amazon, 359
3, 1, Netflix, 0
3, 2, Netflix, 0
3, 3, Netflix, 0
3, 4, Netflix, 0
3, 5, Hulu, 265
4, 1, Netflix, 0
4, 2, Netflix, 0
4, 3, Netflix, 0
4, 4, Netflix, 0
4, 5, HBOGo, 54
5, 1, Netflix, 0
5, 2, Netflix, 0
5, 3, Netflix, 0
5, 4, Amazon, 629
6, 1, Netflix, 0
6, 2, Netflix, 0
6, 3, Netflix, 0
6, 4, Hulu, 329
7, 1, Netflix, 0
7, 2, Netflix, 0
7, 3, Netflix, 0
7, 4, HBOGo, 23
8, 1, Netflix, 0
8, 2, Netflix, 0
8, 3, Amazon, 125
9, 1, Netflix, 0
9, 2, Netflix, 0
9, 3, Hulu, 825
10, 1, Netflix, 0
10, 2, Netflix, 0
10, 3, HBOGo, 23
11, 1, Netflix, 0
11, 3, Hulu, 425
12, 1, Netflix, 0
12, 3, Amazon, 65